Código modular,Código de institución,Nombre de IE,Nivel / Modalidad,Tipo de Gestión,Dependencia,Dirección de IE,Departamento / Provincia / Distrito,Alumnos (Censo educativo),Docentes (Censo educativo),Secciones (Censo educativo),GeoLocation
1475406,,ESTRELLITA DE BELEN,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,AUTOPISTA VIA DE EVITAMIENTO MOLLENDO - MEJIA,Arequipa / Islay / Mollendo,7.0,0.0,2.0,"-17.0231,-72.0151"
1621085,22404067.0,40492 DANIEL ALCIDES CARRION,Inicial - Jardín,Pública de gestión directa,Sector Educación,CALLE SAN MARTIN 100,Arequipa / Islay / Mollendo,82.0,3.0,3.0,"-17.0245,-72.0135"
1629666,24511936.0,REYES AZULES,Inicial - Jardín,Privada,Particular,UPIS MIRAMAR MZ Y LOTE 8,Arequipa / Islay / Mollendo,69.0,4.0,4.0,"-17.0262,-72.0126"
55104,,CAPULLITOS,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,CALLE SAN MARTIN 100,Arequipa / Islay / Mollendo,10.0,0.0,2.0,"-17.0277,-72.0146"
55102,,VIRGEN DE FATIMA,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,AVIS LOS PINOS MZ K,Arequipa / Islay / Mollendo,8.0,0.0,2.0,"-17.0242,-72.0140"
1658186,24991350.0,LAPLACE MOLLENDO,Primaria,Privada,Particular,CALLE HUAMACHUCO 223,Arequipa / Islay / Mollendo,144.0,6.0,7.0,"-17.0239,-72.0115"
1662360,26267943.0,CIENCIAS APLICADAS SIR ISAAC NEWTON,Primaria,Privada,Particular,CALLE AURELIO LA FUENTE 102,Arequipa / Islay / Mollendo,246.0,13.0,10.0,"-17.0260,-72.0161"
1672948,24511774.0,SEMILLITAS DE AMOR,Inicial - Cuna Jardín,Privada,Particular,AVENIDA AMANCAES 802,Arequipa / Islay / Mollendo,47.0,4.0,4.0,"-17.0272,-72.0103"
1712512,24580407.0,40476 MERCEDES MANRIQUE FUENTES,Inicial - Jardín,Pública de gestión directa,Sector Educación,MZ F-G,Arequipa / Islay / Mollendo,61.0,3.0,3.0,"-17.0225,-72.0196"
1712520,24991431.0,41050 DIVINO MAESTRO,Inicial - Jardín,Pública de gestión directa,Sector Educación,AVENIDA 30 DE AGOSTO S/N,Arequipa / Islay / Mollendo,45.0,3.0,3.0,"-17.0277,-72.0174"
3869325,,NIÑO DE DIOS,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,MZ D LOTE 8,Arequipa / Islay / Mollendo,18.0,0.0,2.0,"-17.0265,-72.0188"
3869326,,HOGAR DEL BEBE,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,MZ D,Arequipa / Islay / Mollendo,9.0,0.0,2.0,"-17.0227,-72.0127"
1735364,23532174.0,MOLLENDO,Básica Especial - Inicial,Pública de gestión directa,Sector Educación,CALLE PUNO 710,Arequipa / Islay / Mollendo,19.0,4.0,4.0,"-17.0235,-72.0136"
1764380,24365417.0,ABC GREGORIO MENDEL,Secundaria,Privada,Particular,AVENIDA MARISCAL CASTILLA 468,Arequipa / Islay / Mollendo,34.0,10.0,5.0,"-17.0212,-72.0120"
1764851,24377962.0,SAN SILVESTRE,Inicial - Cuna Jardín,Privada,Particular,MZ K LOTE 7,Arequipa / Islay / Mollendo,16.0,3.0,4.0,"-17.0216,-72.0173"
3952014,,SANTA ROSA,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,MZ E LOTE 2,Arequipa / Islay / Mollendo,8.0,0.0,2.0,"-17.0262,-72.0167"
