codigo_modular,codigo_de_institucion,nombre_de_ie,nivel_modalidad,tipo_de_gestion,dependencia,direccion_de_ie,alumnos,docentes,secciones,geolocation,departamento,provincia,distrito
225326,24216675.0,NIÑO JESUS DE PRAGA,Inicial - Jardín,Pública de gestión directa,Sector Educación,AVENIDA PROGRESO S/N,143.0,8.0,8.0,"-17.0883,-71.7529",Arequipa,Islay,Cocachacra
226092,24216837.0,DIVINO NIÑO JESUS,Inicial - Jardín,Pública de gestión directa,Sector Educación,CALLE PERU S/N,36.0,3.0,3.0,"-17.0839,-71.7532",Arequipa,Islay,Cocachacra
287813,24991768.0,41048 CRISTO REY,Primaria,Pública de gestión directa,Sector Educación,CALLE TACNA 612,357.0,18.0,14.0,"-17.0843,-71.7614",Arequipa,Islay,Cocachacra
307835,22282786.0,41513 SAGRADO CORAZON DE JESUS,Primaria,Pública de gestión directa,Sector Educación,AVENIDA PERU S/N,107.0,7.0,6.0,"-17.0909,-71.7541",Arequipa,Islay,Cocachacra
309476,24991504.0,MARIANO E. RIVERO Y USTARIZ,Secundaria,Pública de gestión directa,Sector Educación,AVENIDA PROGRESO 1200,349.0,36.0,17.0,"-17.0859,-71.7608",Arequipa,Islay,Cocachacra
313627,24580245.0,40482 SAN MARTIN DE PORRES,Primaria,Pública de gestión directa,Sector Educación,AVENIDA PROGRESO S/N,249.0,15.0,12.0,"-17.0870,-71.7587",Arequipa,Islay,Cocachacra
313635,22283693.0,40483,Primaria,Pública de gestión directa,Sector Educación,CALLE PRINCIPAL S/N,3.0,1.0,2.0,"-17.0880,-71.7538",Arequipa,Islay,Cocachacra
313759,22308459.0,40498,Primaria,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL,20.0,2.0,5.0,"-17.0929,-71.7594",Arequipa,Islay,Cocachacra
313767,22283367.0,40499,Primaria,Pública de gestión directa,Sector Educación,CALLE SANTA MARIA S/N,3.0,1.0,3.0,"-17.0879,-71.7533",Arequipa,Islay,Cocachacra
313775,22308114.0,40500,Primaria,Pública de gestión directa,Sector Educación,CALLE PRINCIPAL,9.0,1.0,6.0,"-17.0928,-71.7593",Arequipa,Islay,Cocachacra
313791,22283286.0,40502,Primaria,Pública de gestión directa,Sector Educación,CALLE PRINCIPAL S/N,4.0,2.0,2.0,"-17.0878,-71.7532",Arequipa,Islay,Cocachacra
610659,23530686.0,CHUCARAPI,Secundaria,Pública de gestión directa,Sector Educación,CALLE VILLA HERMOSA,150.0,16.0,7.0,"-17.0877,-71.7551",Arequipa,Islay,Cocachacra
637397,22308297.0,40491,Primaria,Pública de gestión directa,Sector Educación,CARRETERA QUELGUA GRANDE S/N,4.0,1.0,4.0,"-17.0933,-71.7568",Arequipa,Islay,Cocachacra
745984,23532255.0,40518,Primaria,Pública de gestión directa,Sector Educación,CARRETERA PANAMERICANA SUR KM 1040,29.0,3.0,6.0,"-17.0892,-71.7614",Arequipa,Islay,Cocachacra
844753,26268109.0,JESUS DE NAZARETH,Primaria,Privada,Particular,CALLE DEAN VALDIVIA S/N MZ B8 LOTE 04,115.0,7.0,7.0,"-17.0899,-71.7620",Arequipa,Islay,Cocachacra
890996,26268109.0,JESUS DE NAZARETH,Inicial - Jardín,Privada,Particular,CALLE DEAN VALDIVIA S/N MZ B8 LOTE 04,31.0,3.0,3.0,"-17.0913,-71.7593",Arequipa,Islay,Cocachacra
1344233,26268109.0,JESUS DE NAZARETH,Secundaria,Privada,Particular,CALLE DEAN VALDIVIA S/N MZ B8 LOTE 04,70.0,9.0,4.0,"-17.0913,-71.7612",Arequipa,Islay,Cocachacra
1344266,22306881.0,VALLE ARRIBA DE TAMBO,Secundaria,Pública de gestión directa,Sector Educación,CALLE UNION MZ K LOTE 08,35.0,11.0,5.0,"-17.0900,-71.7542",Arequipa,Islay,Cocachacra
1302769,22305719.0,EL FISCAL,Inicial - Jardín,Pública de gestión directa,Sector Educación,AVIS EL FISCAL S/N,18.0,2.0,3.0,"-17.0836,-71.7621",Arequipa,Islay,Cocachacra
1503602,,SANTA MARIA,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,DELIA R. ALVAREZ MZ A LOTE 6,10.0,0.0,3.0,"-17.0855,-71.7551",Arequipa,Islay,Cocachacra
1503605,,MI INFANCIA FELIZ,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL,5.0,0.0,3.0,"-17.0836,-71.7553",Arequipa,Islay,Cocachacra
1503611,,MIS PRIMEROS AÑOS,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,VILLA DEL VALLE,8.0,0.0,3.0,"-17.0926,-71.7549",Arequipa,Islay,Cocachacra
1503613,,LOS CARIÑOSITOS,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,AVENIDA AREQUIPA S/N,5.0,0.0,2.0,"-17.0925,-71.7572",Arequipa,Islay,Cocachacra
1621069,22305141.0,JOSE OLAYA,Inicial - Jardín,Pública de gestión directa,Sector Educación,CALLE LIBERTAD S/N,2.0,1.0,1.0,"-17.0904,-71.7564",Arequipa,Islay,Cocachacra
1649672,24580245.0,40482 SAN MARTIN DE PORRES,Inicial - Jardín,Pública de gestión directa,Sector Educación,AVENIDA PROGRESO S/N,61.0,4.0,3.0,"-17.0911,-71.7618",Arequipa,Islay,Cocachacra
1679901,24631230.0,RONDA INFANTIL,Inicial - Jardín,Pública de gestión directa,Sector Educación,AVIS SANTA CRUZ,11.0,2.0,3.0,"-17.0874,-71.7525",Arequipa,Islay,Cocachacra
1503618,,MUNDO DE LOS NIÑOS,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,CALLE PRINCIPAL S/N,3.0,0.0,3.0,"-17.0888,-71.7572",Arequipa,Islay,Cocachacra
1712504,22305638.0,ESTRELLA DE BELEN,Inicial - Jardín,Pública de gestión directa,Sector Educación,RAMON CASTILLA,13.0,1.0,3.0,"-17.0894,-71.7531",Arequipa,Islay,Cocachacra
1759174,24762815.0,PASITOS DE ESPERANZA,Inicial - Jardín,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL S/N MZ A LOTE 8,3.0,1.0,2.0,"-17.0931,-71.7615",Arequipa,Islay,Cocachacra
3935564,,MANITOS CREATIVAS,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,CALLE PROGRESO S/N,12.0,0.0,2.0,"-17.0840,-71.7568",Arequipa,Islay,Cocachacra
3989668,,GOTITAS DE ALEGRIA,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,AVENIDA LIBERTAD S/N,14.0,0.0,2.0,"-17.0838,-71.7560",Arequipa,Islay,Cocachacra
3992340,,RISITAS DE GIUKENLU,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,CALLE JOSE OLAYA MZ H LOTE 6,14.0,0.0,2.0,"-17.0849,-71.7610",Arequipa,Islay,Cocachacra
3992341,,SONRISITAS DE AMOR,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,CALLE MIRADOR MZ I LOTE 5,10.0,0.0,2.0,"-17.0898,-71.7604",Arequipa,Islay,Cocachacra
225342,24216756.0,EL ARENAL,Inicial - Jardín,Pública de gestión directa,Sector Educación,CALLE INTERNACIONAL S/N,49.0,3.0,3.0,"-17.1115,-71.8457",Arequipa,Islay,Dean Valdivia
310169,22305220.0,FRANCISCO LOPEZ DE ROMAÑA,Secundaria,Pública de gestión directa,Sector Educación,AVENIDA PROLONGACION GUARDIOLA S/N,252.0,25.0,11.0,"-17.1137,-71.8395",Arequipa,Islay,Dean Valdivia
313643,22283510.0,40484 VIRGEN DE FATIMA,Primaria,Pública de gestión directa,Sector Educación,CALLE FATIMA S/N,251.0,16.0,12.0,"-17.1123,-71.8390",Arequipa,Islay,Dean Valdivia
313650,22283448.0,40485 RUBEN LINARES LINARES,Primaria,Pública de gestión directa,Sector Educación,CALLE INTERNACIONAL S/N,154.0,9.0,7.0,"-17.1178,-71.8480",Arequipa,Islay,Dean Valdivia
313809,22283103.0,40503 JOSE OLAYA,Primaria,Pública de gestión directa,Sector Educación,CALLE AREQUIPA 112,3.0,2.0,2.0,"-17.1176,-71.8438",Arequipa,Islay,Dean Valdivia
313817,22283022.0,40504 LUISA BEGAZO DE DEL CARPIO,Primaria,Pública de gestión directa,Sector Educación,CALLE PRINCIPAL S/N,72.0,6.0,6.0,"-17.1143,-71.8410",Arequipa,Islay,Dean Valdivia
523787,22306391.0,DIVINO SALVADOR,Inicial - Jardín,Pública de gestión directa,Sector Educación,AVENIDA DEAN VALDIVIA S/N,70.0,4.0,4.0,"-17.1112,-71.8472",Arequipa,Islay,Dean Valdivia
579771,22307045.0,CIRO ALEGRIA BAZAN,Secundaria,Pública de gestión directa,Sector Educación,CALLE JOSE OLAYA 330,205.0,21.0,10.0,"-17.1132,-71.8404",Arequipa,Islay,Dean Valdivia
890871,22298135.0,NUESTRA SEÑORA DE LA MERCED,Inicial - Jardín,Pública de gestión directa,Sector Educación,ALTO ENSENADA,55.0,3.0,3.0,"-17.1140,-71.8471",Arequipa,Islay,Dean Valdivia
891234,25270347.0,MIGUEL DE CERVANTES SAAVEDRA,Inicial - Jardín,Pública de gestión directa,Sector Educación,CALLE LIMA S/N,3.0,1.0,3.0,"-17.1185,-71.8424",Arequipa,Islay,Dean Valdivia
1492750,22307533.0,ALTO BOQUERON,Inicial - Jardín,Pública de gestión directa,Sector Educación,ALTO BOQUERON,29.0,2.0,3.0,"-17.1143,-71.8441",Arequipa,Islay,Dean Valdivia
1621051,22304801.0,LEONOR BERNEDO DE JUAREZ,Inicial - Cuna Jardín,Pública de gestión directa,Sector Educación,JIRON LIMA S/N MZ P LOTE 10,58.0,4.0,4.0,"-17.1153,-71.8478",Arequipa,Islay,Dean Valdivia
55106,,PIMPOLLITOS,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,AVIS VIRGEN DE FATIMA,11.0,0.0,2.0,"-17.1129,-71.8390",Arequipa,Islay,Dean Valdivia
1679893,22305301.0,ESTRELLITAS,Inicial - Jardín,Pública de gestión directa,Sector Educación,PROGRESO DEL VALLE S/N,19.0,2.0,3.0,"-17.1179,-71.8466",Arequipa,Islay,Dean Valdivia
55110,,MI MUNDO FELIZ,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,CALLE 2 DE MAYO SECTOR SAN JUAN S/N,7.0,0.0,2.0,"-17.1118,-71.8408",Arequipa,Islay,Dean Valdivia
1697341,24630994.0,LA PLACE,Secundaria,Privada,Particular,JIRON 02 DE MAYO S/N,159.0,8.0,7.0,"-17.1130,-71.8421",Arequipa,Islay,Dean Valdivia
3966008,,VIRGEN DE LAS MERCEDES,Inicial No Escolarizado,Pública de gestión directa,Sector Educación,VIRGEN DE FATIMA,11.0,0.0,3.0,"-17.1183,-71.8411",Arequipa,Islay,Dean Valdivia
1773266,24631311.0,SAINT MICHAEL THE ARCHANGEL,Primaria,Privada,Particular,AVENIDA INDEPENDENCIA S7N MZ G LOTE 01,39.0,8.0,6.0,"-17.1137,-71.8477",Arequipa,Islay,Dean Valdivia
